Nall = 64000               
rho = 0.04459
type                Na_Na               Na_Cl               Cl_Na               Cl_Cl               
ca                  0.50000             0.50000             0.50000             0.50000             
cb                  0.50000             0.50000             0.50000             0.50000             
0.05000             0.00000             0.00000             0.00000             0.00000             
0.15000             0.00000             0.00000             0.00000             0.00000             
0.25000             0.00000             0.00000             0.00000             0.00000             
0.35000             0.00000             0.00000             0.00000             0.00000             
0.45000             0.00000             0.00000             0.00000             0.00000             
0.55000             0.00000             0.00000             0.00000             0.00000             
0.65000             0.00000             0.00000             0.00000             0.00000             
0.75000             0.00000             0.00000             0.00000             0.00000             
0.85000             0.00000             0.00000             0.00000             0.00000             
0.95000             0.00000             0.00000             0.00000             0.00000             
1.05000             0.00000             0.00000             0.00000             0.00000             
1.15000             0.00000             0.00000             0.00000             0.00000             
1.25000             0.00000             0.00000             0.00000             0.00000             
1.35000             0.00000             0.00000             0.00000             0.00000             
1.45000             0.00000             0.00000             0.00000             0.00000             
1.55000             0.00000             0.00000             0.00000             0.00000             
1.65000             0.00000             0.00000             0.00000             0.00000             
1.75000             0.00000             0.00000             0.00000             0.00000             
1.85000             0.00000             0.00000             0.00000             0.00000             
1.95000             0.00000             0.00000             0.00000             0.00000             
2.05000             0.00000             0.00000             0.00000             0.00000             
2.15000             0.00000             0.00000             0.00000             0.00000             
2.25000             0.00000             0.00000             0.00000             0.00000             
2.35000             0.00000             0.00000             0.00000             0.00000             
2.45000             0.00000             0.00000             0.00000             0.00000             
2.55000             0.00000             0.00000             0.00000             0.00000             
2.65000             0.00000             0.00000             0.00000             0.00000             
2.75000             0.00000             0.00000             0.00000             0.00000             
2.85000             0.00000             26.36517            26.36517            0.00000             
2.95000             0.00000             0.00000             0.00000             0.00000             
3.05000             0.00000             0.00000             0.00000             0.00000             
3.15000             0.00000             0.00000             0.00000             0.00000             
3.25000             0.00000             0.00000             0.00000             0.00000             
3.35000             0.00000             0.00000             0.00000             0.00000             
3.45000             0.00000             0.00000             0.00000             0.00000             
3.55000             0.00000             0.00000             0.00000             0.00000             
3.65000             0.00000             0.00000             0.00000             0.00000             
3.75000             0.00000             0.00000             0.00000             0.00000             
3.85000             0.00000             0.00000             0.00000             0.00000             
3.95000             27.45222            0.00000             0.00000             27.45222            
4.05000             0.00000             0.00000             0.00000             0.00000             
4.15000             0.00000             0.00000             0.00000             0.00000             
4.25000             0.00000             0.00000             0.00000             0.00000             
4.35000             0.00000             0.00000             0.00000             0.00000             
4.45000             0.00000             0.00000             0.00000             0.00000             
4.55000             0.00000             0.00000             0.00000             0.00000             
4.65000             0.00000             0.00000             0.00000             0.00000             
4.75000             0.00000             0.00000             0.00000             0.00000             
4.85000             0.00000             12.13961            12.13961            0.00000             
4.95000             0.00000             0.00000             0.00000             0.00000             
5.05000             0.00000             0.00000             0.00000             0.00000             
5.15000             0.00000             0.00000             0.00000             0.00000             
5.25000             0.00000             0.00000             0.00000             0.00000             
5.35000             0.00000             0.00000             0.00000             0.00000             
5.45000             0.00000             0.00000             0.00000             0.00000             
5.55000             0.00000             0.00000             0.00000             0.00000             
5.65000             6.70898             0.00000             0.00000             6.70898             
5.75000             0.00000             0.00000             0.00000             0.00000             
5.85000             0.00000             0.00000             0.00000             0.00000             
5.95000             0.00000             0.00000             0.00000             0.00000             
6.05000             0.00000             0.00000             0.00000             0.00000             
6.15000             0.00000             0.00000             0.00000             0.00000             
6.25000             0.00000             0.00000             0.00000             0.00000             
6.35000             0.00000             21.24557            21.24557            0.00000             
6.45000             0.00000             0.00000             0.00000             0.00000             
6.55000             0.00000             0.00000             0.00000             0.00000             
6.65000             0.00000             0.00000             0.00000             0.00000             
6.75000             0.00000             0.00000             0.00000             0.00000             
6.85000             0.00000             0.00000             0.00000             0.00000             
6.95000             17.73568            0.00000             0.00000             17.73568            
7.05000             0.00000             0.00000             0.00000             0.00000             
7.15000             0.00000             0.00000             0.00000             0.00000             
7.25000             0.00000             0.00000             0.00000             0.00000             
7.35000             0.00000             0.00000             0.00000             0.00000             
7.45000             0.00000             0.00000             0.00000             0.00000             
7.55000             0.00000             0.00000             0.00000             0.00000             
7.65000             0.00000             0.00000             0.00000             0.00000             
7.75000             0.00000             0.00000             0.00000             0.00000             
7.85000             0.00000             0.00000             0.00000             0.00000             
7.95000             6.77727             0.00000             0.00000             6.77727             
8.05000             0.00000             0.00000             0.00000             0.00000             
8.15000             0.00000             0.00000             0.00000             0.00000             
8.25000             0.00000             0.00000             0.00000             0.00000             
8.35000             0.00000             0.00000             0.00000             0.00000             
8.45000             0.00000             14.99741            14.99741            0.00000             
8.55000             0.00000             0.00000             0.00000             0.00000             
8.65000             0.00000             0.00000             0.00000             0.00000             
8.75000             0.00000             0.00000             0.00000             0.00000             
8.85000             0.00000             0.00000             0.00000             0.00000             
8.95000             10.69484            0.00000             0.00000             10.69484            
9.05000             0.00000             0.00000             0.00000             0.00000             
9.15000             0.00000             0.00000             0.00000             0.00000             
9.25000             0.00000             0.00000             0.00000             0.00000             
9.35000             0.00000             9.79936             9.79936             0.00000             
9.45000             0.00000             0.00000             0.00000             0.00000             
9.55000             0.00000             0.00000             0.00000             0.00000             
9.65000             0.00000             0.00000             0.00000             0.00000             
9.75000             3.00394             0.00000             0.00000             3.00394             
9.85000             0.00000             0.00000             0.00000             0.00000             
9.95000             0.00000             0.00000             0.00000             0.00000             
10.05000            0.00000             0.00000             0.00000             0.00000             
10.15000            0.00000             8.31552             8.31552             0.00000             
10.25000            0.00000             0.00000             0.00000             0.00000             
10.35000            0.00000             0.00000             0.00000             0.00000             
10.45000            0.00000             0.00000             0.00000             0.00000             
10.55000            15.39383            0.00000             0.00000             15.39383            
