bin                 q                   two_theta           Fx                  Icoh               
0                   0.005000            0.070243            26.467446           5389.890023        
1                   0.015000            0.210729            25.892987           5277.167071        
2                   0.025000            0.351215            24.765216           5055.887511        
3                   0.035000            0.491702            23.125511           4734.202151        
4                   0.045000            0.632190            21.033690           4323.891116        
5                   0.055000            0.772678            18.565426           3839.852210        
6                   0.065000            0.913168            15.808999           3299.456922        
7                   0.075000            1.053659            12.861523           2721.804367        
8                   0.085000            1.194152            9.824837            2126.908075        
9                   0.095000            1.334646            6.801237            1534.853505        
10                  0.105000            1.475142            3.889253            964.965216         
11                  0.115000            1.615641            1.179663            435.021791         
12                  0.125000            1.756142            -1.248083           -39.446065         
13                  0.135000            1.896646            -3.328869           -445.743192        
14                  0.145000            2.037152            -5.014214           -774.458231        
15                  0.155000            2.177662            -6.273785           -1019.754261       
16                  0.165000            2.318175            -7.096063           -1179.491440       
17                  0.175000            2.458691            -7.488142           -1255.179486       
18                  0.185000            2.599212            -7.474699           -1251.766029       
19                  0.195000            2.739736            -7.096196           -1177.274646       
20                  0.205000            2.880264            -6.406416           -1042.313369       
21                  0.215000            3.020796            -5.469468           -859.480280        
22                  0.225000            3.161333            -4.356413           -642.697224        
23                  0.235000            3.301875            -3.141683           -406.505469        
24                  0.245000            3.442422            -1.899473           -165.358189        
25                  0.255000            3.582974            -0.700265           67.056036          
26                  0.265000            3.723531            0.392330            278.426895         
27                  0.275000            3.864094            1.324286            458.345325         
28                  0.285000            4.004663            2.053314            598.713123         
29                  0.295000            4.145237            2.550349            694.022816         
30                  0.305000            4.285818            2.800338            741.498289         
31                  0.315000            4.426406            2.802301            741.093945         
32                  0.325000            4.567000            2.568689            695.357336         
33                  0.335000            4.707601            2.124095            609.166936         
34                  0.345000            4.848209            1.503407            489.362686         
35                  0.355000            4.988824            0.749505            344.291893         
36                  0.365000            5.129447            -0.089355           183.296639         
37                  0.375000            5.270078            -0.962335           16.171065          
38                  0.385000            5.410716            -1.818826           -147.382446        
39                  0.395000            5.551363            -2.611152           -298.270048        
40                  0.405000            5.692018            -3.297005           -428.470297        
41                  0.415000            5.832682            -3.841515           -531.422842        
42                  0.425000            5.973354            -4.218849           -602.324276        
43                  0.435000            6.114036            -4.413270           -638.318943        
44                  0.445000            6.254727            -4.419627           -638.578383        
45                  0.455000            6.395427            -4.243260           -604.269158        
46                  0.465000            6.536137            -3.899347           -538.414734        
47                  0.475000            6.676856            -3.411745           -445.662466        
48                  0.485000            6.817586            -2.811409           -331.971478        
49                  0.495000            6.958326            -2.134474           -204.240863        
50                  0.505000            7.099077            -1.420122           -69.900230         
51                  0.515000            7.239838            -0.708359           63.514094          
52                  0.525000            7.380610            -0.037809           188.773877         
53                  0.535000            7.521394            0.556344            299.342721         
54                  0.545000            7.662188            1.044163            389.709022         
55                  0.555000            7.802995            1.402426            455.651798         
56                  0.565000            7.943813            1.615683            494.427224         
57                  0.575000            8.084643            1.676864            504.868357         
58                  0.585000            8.225485            1.587408            487.395507         
59                  0.595000            8.366340            1.356928            443.939638         
60                  0.605000            8.507208            1.002437            377.785834         
61                  0.615000            8.648088            0.547203            293.348008         
62                  0.625000            8.788982            0.019287            195.889424         
63                  0.635000            8.929888            -0.550130           91.206099          
64                  0.645000            9.070809            -1.128546           -14.708357         
65                  0.655000            9.211743            -1.683947           -115.997470        
66                  0.665000            9.352691            -2.186548           -207.257841        
67                  0.675000            9.493653            -2.610349           -283.819545        
68                  0.685000            9.634630            -2.934440           -341.976731        
69                  0.695000            9.775621            -3.143992           -379.157351        
70                  0.705000            9.916627            -3.230881           -394.024662        
71                  0.715000            10.057648           -3.193921           -386.507150        
72                  0.725000            10.198685           -3.038714           -357.757571        
73                  0.735000            10.339736           -2.777129           -310.045738        
74                  0.745000            10.480804           -2.426445           -246.593179        
75                  0.755000            10.621888           -2.008231           -171.360781        
76                  0.765000            10.762987           -1.547011           -88.802790         
77                  0.775000            10.904103           -1.068817           -3.601981          
78                  0.785000            11.045236           -0.599692           79.598600          
79                  0.795000            11.186385           -0.164250           156.452222         
80                  0.805000            11.327552           0.215650            223.139419         
81                  0.815000            11.468736           0.522031            276.561202         
82                  0.825000            11.609937           0.741669            314.484960         
83                  0.835000            11.751156           0.866675            335.636402         
84                  0.845000            11.892393           0.894756            339.734159         
85                  0.855000            12.033647           0.829153            327.466998         
86                  0.865000            12.174921           0.678267            300.416836         
87                  0.875000            12.316213           0.455002            260.933696         
88                  0.885000            12.457523           0.175874            211.971296         
89                  0.895000            12.598853           -0.140063           156.893896         
90                  0.905000            12.740202           -0.472398           99.266357          
91                  0.915000            12.881570           -0.800592           42.639924          
92                  0.925000            13.022958           -1.105179           -9.653862          
93                  0.935000            13.164366           -1.368867           -54.689588         
94                  0.945000            13.305795           -1.577482           -90.104645         
95                  0.955000            13.447243           -1.720712           -114.218077        
96                  0.965000            13.588712           -1.792596           -126.105931        
97                  0.975000            13.730202           -1.791752           -125.630095        
98                  0.985000            13.871713           -1.721335           -113.420345        
99                  0.995000            14.013245           -1.588724           -90.812056         
100                 1.005000            14.154799           -1.404975           -59.744452         
101                 1.015000            14.296374           -1.184069           -22.626454         
102                 1.025000            14.437972           -0.942004           17.821188          
103                 1.035000            14.579591           -0.695796           58.737644          
104                 1.045000            14.721233           -0.462435           97.297291          
105                 1.055000            14.862898           -0.257868           130.878250         
106                 1.065000            15.004585           -0.096061           157.214554         
107                 1.075000            15.146295           0.011796            174.523544         
108                 1.085000            15.288029           0.057921            181.601710         
109                 1.095000            15.429786           0.038340            177.884209         
110                 1.105000            15.571567           -0.046923           163.465494         
111                 1.115000            15.713372           -0.193909           139.080818         
112                 1.125000            15.855202           -0.395010           106.050604         
113                 1.135000            15.997055           -0.639460           66.191804          
114                 1.145000            16.138934           -0.914014           21.702140          
115                 1.155000            16.280837           -1.203747           -24.975432         
116                 1.165000            16.422766           -1.492951           -71.299749         
117                 1.175000            16.564719           -1.766059           -114.781190        
118                 1.185000            16.706699           -2.008544           -153.125426        
119                 1.195000            16.848704           -2.207753           -184.363001        
120                 1.205000            16.990735           -2.353616           -206.957563        
121                 1.215000            17.132793           -2.439197           -219.886956        
122                 1.225000            17.274877           -2.461055           -222.693062        
123                 1.235000            17.416988           -2.419403           -215.498172        
124                 1.245000            17.559126           -2.318047           -198.987620        
125                 1.255000            17.701291           -2.164129           -174.360361        
126                 1.265000            17.843484           -1.967671           -143.250957        
127                 1.275000            17.985704           -1.740967           -107.628012        
128                 1.285000            18.127952           -1.497850           -69.675317         
129                 1.295000            18.270228           -1.252878           -31.662836         
130                 1.305000            18.412533           -1.020488           4.184911           
131                 1.315000            18.554867           -0.814174           35.815512          
132                 1.325000            18.697229           -0.645717           61.463253          
133                 1.335000            18.839621           -0.524532           79.745354          
134                 1.345000            18.982042           -0.457152           89.734695          
135                 1.355000            19.124492           -0.446882           91.005358          
136                 1.365000            19.266972           -0.493642           83.648877          
137                 1.375000            19.409483           -0.594006           68.260789          
138                 1.385000            19.552023           -0.741428           45.898776          
139                 1.395000            19.694595           -0.926641           18.015234          
140                 1.405000            19.837197           -1.138215           -13.631501         
141                 1.415000            19.979830           -1.363225           -47.081925         
142                 1.425000            20.122494           -1.588000           -80.290004         
143                 1.435000            20.265190           -1.798911           -111.241092        
144                 1.445000            20.407917           -1.983149           -138.066513        
145                 1.455000            20.550677           -2.129452           -159.148452        
146                 1.465000            20.693469           -2.228739           -173.209489        
147                 1.475000            20.836293           -2.274625           -179.382039        
148                 1.485000            20.979151           -2.263774           -177.254152        
149                 1.495000            21.122041           -2.196086           -166.889490        
150                 1.505000            21.264964           -2.074705           -148.820758        
151                 1.515000            21.407921           -1.905845           -124.017299        
152                 1.525000            21.550911           -1.698445           -93.828988         
153                 1.535000            21.693936           -1.463683           -59.909785         
154                 1.545000            21.836994           -1.214364           -24.125350         
155                 1.555000            21.980088           -0.964218           11.550088          
156                 1.565000            22.123215           -0.727152           45.141949          
157                 1.575000            22.266378           -0.516498           74.782744          
158                 1.585000            22.409576           -0.344281           98.813057          
159                 1.595000            22.552810           -0.220563           115.870807         
160                 1.605000            22.696079           -0.152893           124.964216         
161                 1.615000            22.839384           -0.145886           125.524899         
162                 1.625000            22.982726           -0.200948           117.438520         
163                 1.635000            23.126103           -0.316185           101.051736         
164                 1.645000            23.269518           -0.486462           77.155329          
165                 1.655000            23.412969           -0.703642           46.944702          
166                 1.665000            23.556458           -0.956970           11.960009          
167                 1.675000            23.699984           -1.233598           -25.990807         
168                 1.685000            23.843548           -1.519204           -64.922007         
169                 1.695000            23.987150           -1.798698           -102.768427        
170                 1.705000            24.130790           -2.056956           -137.487299        
171                 1.715000            24.274469           -2.279563           -167.158446        
172                 1.725000            24.418186           -2.453524           -190.078050        
173                 1.735000            24.561943           -2.567901           -204.841521        
174                 1.745000            24.705738           -2.614358           -210.411669        
175                 1.755000            24.849574           -2.587585           -206.169149        
176                 1.765000            24.993449           -2.485574           -191.943044        
177                 1.775000            25.137364           -2.309749           -168.020443        
178                 1.785000            25.281319           -2.064936           -135.134876        
179                 1.795000            25.425315           -1.759171           -94.434434         
180                 1.805000            25.569352           -1.403376           -47.431311         
181                 1.815000            25.713430           -1.010892           4.064682           
182                 1.825000            25.857549           -0.596914           58.025463          
183                 1.835000            26.001710           -0.177837           112.293198         
184                 1.845000            26.145912           0.229448            164.674001         
185                 1.855000            26.290157           0.608280            213.032736         
186                 1.865000            26.434445           0.942947            255.384866         
187                 1.875000            26.578774           1.219368            289.981532         
188                 1.885000            26.723147           1.425706            315.384459         
189                 1.895000            26.867564           1.552889            330.527752         
190                 1.905000            27.012023           1.595027            334.764291         
191                 1.915000            27.156527           1.549695            327.895084         
192                 1.925000            27.301074           1.418080            310.180672         
193                 1.935000            27.445666           1.204993            282.334377         
194                 1.945000            27.590302           0.918728            245.497901         
195                 1.955000            27.734983           0.570799            201.200435         
196                 1.965000            27.879709           0.175542            151.302975         
197                 1.975000            28.024481           -0.250388           97.930118          
198                 1.985000            28.169298           -0.688608           43.391916          
199                 1.995000            28.314161           -1.119676           -9.901264          
200                 2.005000            28.459071           -1.523795           -59.527792         
201                 2.015000            28.604026           -1.881542           -103.144554        
202                 2.025000            28.749029           -2.174595           -138.574324        
203                 2.035000            28.894079           -2.386427           -163.887684        
204                 2.045000            29.039176           -2.502941           -177.476722        
205                 2.055000            29.184320           -2.513039           -178.117959        
206                 2.065000            29.329513           -2.409088           -165.022394        
207                 2.075000            29.474753           -2.187272           -137.870928        
208                 2.085000            29.620042           -1.847825           -96.833904         
209                 2.095000            29.765380           -1.395120           -42.574025         
210                 2.105000            29.910767           -0.837625           23.767585          
211                 2.115000            30.056203           -0.187713           100.601892         
212                 2.125000            30.201689           0.538665            185.938181         
213                 2.135000            30.347224           1.322437            277.444681         
214                 2.145000            30.492810           2.141980            372.521742         
215                 2.155000            30.638446           2.973795            468.385318         
216                 2.165000            30.784133           3.793262            562.158087         
217                 2.175000            30.929871           4.575446            650.965267         
218                 2.185000            31.075660           5.295939            732.031915         
219                 2.195000            31.221500           5.931697            802.778409         
220                 2.205000            31.367393           6.461854            860.910740         
221                 2.215000            31.513338           6.868477            904.502356         
222                 2.225000            31.659335           7.137231            932.064480         
223                 2.235000            31.805385           7.257942            942.602163         
224                 2.245000            31.951488           7.225010            935.653729         
225                 2.255000            32.097644           7.037680            911.311853         
226                 2.265000            32.243854           6.700139            870.225078         
227                 2.275000            32.390118           6.221431            813.579333         
228                 2.285000            32.536436           5.615200            743.059711         
229                 2.295000            32.682809           4.899261            660.793555         
230                 2.305000            32.829237           4.094995            569.276653         
231                 2.315000            32.975720           3.226621            471.285049         
232                 2.325000            33.122258           2.320333            369.775626         
233                 2.335000            33.268852           1.403361            267.779138         
234                 2.345000            33.415502           0.502978            168.289794         
235                 2.355000            33.562208           -0.354511           74.155705          
236                 2.365000            33.708971           -1.144742           -12.025382         
237                 2.375000            33.855791           -1.846205           -88.000809         
238                 2.385000            34.002668           -2.441047           -151.944188        
239                 2.395000            34.149603           -2.915735           -202.519570        
240                 2.405000            34.296596           -3.261542           -238.925764        
241                 2.415000            34.443646           -3.474843           -260.918781        
242                 2.425000            34.590756           -3.557198           -268.811284        
243                 2.435000            34.737924           -3.515218           -263.448907        
244                 2.445000            34.885152           -3.360219           -246.164339        
245                 2.455000            35.032438           -3.107669           -218.711051        
246                 2.465000            35.179785           -2.776468           -183.179482        
247                 2.475000            35.327192           -2.388064           -141.899332        
248                 2.485000            35.474659           -1.965471           -97.332278         
249                 2.495000            35.622187           -1.532215           -51.959917         
250                 2.505000            35.769776           -1.111261           -8.171991          
251                 2.515000            35.917426           -0.723973           31.839975          
252                 2.525000            36.065138           -0.389145           66.178756          
253                 2.535000            36.212912           -0.122168           93.322756          
254                 2.545000            36.360748           0.065650            112.188792         
255                 2.555000            36.508647           0.167558            122.173396         
256                 2.565000            36.656609           0.181620            123.170697         
257                 2.575000            36.804634           0.110735            115.566052         
258                 2.585000            36.952723           -0.037580           100.205773         
259                 2.595000            37.100876           -0.251636           78.344438          
260                 2.605000            37.249093           -0.516221           51.572384          
261                 2.615000            37.397375           -0.813438           21.726970          
262                 2.625000            37.545722           -1.123666           -9.208005          
